document_id,category,split,characters,words_approx,content_sha256,duplicate_group
contos/macn001.txt,contos,train,325776,56616,7814c5d68c1b70adc42f98811024ee23e80b218cdd6b9efcd2f4842be88a842d,2316f021466282324c878149b4cdb5528400eb33ffdf36337cc02ae51efe4ad1
contos/macn002.txt,contos,train,263695,41846,80c5fb3073606d422d4d901444ee8c913aba8cab56382af4a652c79e1e62d9b1,d9b1ddac2487da5ec4a4a4215f9f545fe51008d8897d396ef5a0cdeba8002345
contos/macn003.txt,contos,train,319472,54781,0a637c3aa103fe4a9bae1f4766901b04c42663bd9112f6e62132d2c0bc02c9c9,aa8ccaeecdf018bec821f28404c3a3fe89db619a2b4b5158f1b013267dbfb378
contos/macn004.txt,contos,train,294592,50557,b297efdd7c8cacac5dbbf10496867e4c49291d87f76a9d06ef0335ff34ef82b1,07fe72b64c2b3dae230a538636ade9fddf2cf82fa5ddfc9f8f2b237365806d26
contos/macn005.txt,contos,train,253554,44124,1219abf902e3f44977fa5691f5486390fae52d9a3bca8996ad39cf8e05c89a77,e5d2720fbd8ae8873de317bb2d5fb1e4c4731ca01c12968a70d063fc48ed4362
contos/macn006.txt,contos,test,130663,22634,b49accb056a7dab646a834c6cc8c82604179e896d80855ea322c75035cf238be,e5ae3640cb757f5b00066b7c093cf99a15f47783eacbc36c8fd66ecb7c6778c7
contos/macn007.txt,contos,validation,169879,29761,968b6128cce2b189b32a45913b242e630a84e404b041ef4b0302c89d8dbeb320,92d3f300c601c9c1177e4a0a280894ca026256d835c255ecbb735157324c02de
contos/macn008.txt,contos,train,3935,714,fc90e801bd560381ff8560e320512fc1ed976bd421c6048466bbda9dc24dcb00,01d25383ed7fe6df23223ea5a494c327a9de15251c0876967a8248c1e26221cf
contos/macn009.txt,contos,train,30031,5210,17ff0e0448ca3190b5a1861d21148190af284e7e46e52f2d15dab7b354f3fc8b,7d489fc38c73d14b5d19640d96c3c1d19a1201e3ee3769879251ded97680947c
contos/macn010.txt,contos,train,28897,4956,c043c5a39c5a67c83df77dfaec0df11193f0fb08c279c9ce630b227ad8306fb5,b2cd7d5afe1d481a0d68b63bc626d734d163f4ad79f110250647aa417a91a7b4
contos/macn011.txt,contos,train,28609,4852,1d591d96552bf5eac2f0a2dd633c1ab6743841a555f848f29b77a1353187df1a,a02039cc9ed27192eda2cf59b3b763e61a850f2b974854d25b48ac928a696489
contos/macn012.txt,contos,train,35372,6183,2e5829c74a21357b7fb87ef106737ee58a55a2e39012bde18427a2a146b959b2,4fc5c77ea31aa97478f5802a27f95beda5eaf2eb9beda4bbe1cd946006f57e00
contos/macn013.txt,contos,train,87827,15221,4452d9f5959209e9040fd9e1daa345563494d226e182b60b7c6a5d8ba8ec69f9,eba87c2e0b1c67ddd323aecced4792ae7698986f5c0c84d53d259c3701f42450
contos/macn014.txt,contos,validation,32543,5736,175687d359c782431f572e08830d789e2ada7a2b5eb425aa05ae2df07fef1e1a,74f01ab986028b0eca005b75ef7b116121399efb44c273e35d398ac7d43158ab
contos/macn015.txt,contos,test,33893,5899,2125286384d6a07eb2383f7b2bf211acaa0a229a69a706ec93dbf5f14b75386b,6c79df13db8afa84b728277f3b747186683fb75fafb9e6ea1f32f1c108a8f20f
contos/macn016.txt,contos,train,21655,3797,ea1ac954b0af9862ba231ea6cc435847d2c91ada811c84ffbf6d38cf0f17be2b,bc02df7bf18bdd74e73199009d5451b6fddd4abb275462d313347f6e1a82b0a4
contos/macn017.txt,contos,test,46386,8213,5cdbbc9e738c33ef1000d8700bc1b9854ba9eab4b30b911eeeaa187d05174dfe,c02dfc021a8322be9605e2148ecf48091cc2683df7d89e3a8bc40dc33f2f6131
contos/macn018.txt,contos,train,34182,5733,61dcffeedf3e82b378bd6daa9708501a6e3ba792cbf998fbd61f9a399c12706d,0fd2a0d35a9d8c118ca4294cd88bdaf4460047bb57e9860ca30a52c9bef96f65
contos/macn019.txt,contos,train,12200,2123,b2e8051d7d6e687659d3fc867bc4fc2740848b800be1d823e2bcd655392aafaf,5d97352fc80ec498d646e7f363f2f0be7f1e70f52bfcaaac36f4c63a76e6c296
contos/macn020.txt,contos,validation,56030,9773,a659a73eb38f5ee3298e6533d07f94fc55635a3084f288ad5ba2d153f1117f69,6b36639e4733c7eae9421f4e596e4b1cdea6620f7136f1edff1646f321f67bf0
contos/macn021.txt,contos,train,50404,8643,7e0efa5dcb4ef570490d865b04ee1c4f0483181d9f9bdcc81ee01c4d2f683cc9,ce3c6b322e49a7fccb29ca1b0c6c2f8cad4012370d805cb488d9093aa0ce829c
contos/macn022.txt,contos,train,32477,5747,d5bb175a2580d9f1ff07d287453c9d6d6b3061f4bb6d4d2b6ede04def1ad3166,a66551063eac88ccae64764237e4684bd2dca50e0825079415a391002263a02c
contos/macn023.txt,contos,train,29097,4983,44e6805b2d240185257bfda7af4d8b8736c13a1be484f1e113fb56fd6880167f,35296e38135c375d9717cf587fffd315209fbc0bff0d18e58143abca18b99f72
contos/macn024.txt,contos,train,24061,4213,9952870e8c561679812346a7fcd01f207a0ba2715fb1ed4888eb6214a642cf11,aed6bff0b77fa11d285ce8836e96d74f6fb2754d1f5a5b2454d2e1fceb1658ff
contos/macn025.txt,contos,train,32816,5681,b6be2ca482b27b71159dda67bb36f4589f77ba9c499e8137726824a7550ac233,d9eea599564362bb12d4ec09c38225c93de285b959c57d8e09ff610e9120f1b5
contos/macn026.txt,contos,validation,39126,6752,7dbed1463fcb95edb88c9c2b6c9de6b5af51dbc2bd0cc6d8d2fcf01561e5fec8,3224652d73da6bee9e98fb62fe0f6a88fc41df6e6d597043087bce3319bf7307
contos/macn027.txt,contos,train,48342,8635,687f3add115e1b8abc1b28d8681a8d28ed51eb3cd2099b1ec5fbdd51a765f0b0,61895ce3f1be6a8b28be915363d58f2224e71d181a03899e5efa9795729eb33f
